
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
CC:ED:DC:57:C0:A1, 2023-08-27 17:54:41, 2023-08-27 17:56:42, 11, 130, WPA2, CCMP, PSK, -10,       99,       11,   0.  0.  0.  0,   7, Salgado, 
E4:AB:89:F6:48:CE, 2023-08-27 17:54:41, 2023-08-27 17:56:43,  1, 720, WPA2, CCMP, PSK, -28,       74,     1448,   0.  0.  0.  0,   7, Procase, 
F4:6F:ED:CB:84:00, 2023-08-27 17:54:41, 2023-08-27 17:56:43,  1, 130, WPA2 WPA, CCMP, PSK, -27,       41,       20,   0.  0.  0.  0,   5, Bryan, 
CC:ED:DC:51:0E:17, 2023-08-27 17:54:41, 2023-08-27 17:56:43,  1, 130, WPA2, CCMP, PSK, -24,       56,      289,   0.  0.  0.  0,   5, Kiven, 
6C:D8:19:A6:94:90, 2023-08-27 17:54:41, 2023-08-27 17:56:44,  8, 130, WPA2, CCMP, PSK, -81,       87,       18,   0.  0.  0.  0,   2, XD, 
6C:A4:D1:8B:4B:00, 2023-08-27 17:54:43, 2023-08-27 17:56:09,  4, 270, WPA2 WPA, CCMP, PSK, -32,        6,        0,   0.  0.  0.  0,   5, Terry, 
78:29:ED:08:52:97, 2023-08-27 17:54:43, 2023-08-27 17:56:42, 11, 130, WPA2, CCMP, PSK, -32,       34,        3,   0.  0.  0.  0,   7, lorenzo, 
6C:A4:D1:8C:7A:58, 2023-08-27 17:54:43, 2023-08-27 17:56:42, 11, 130, WPA2 WPA, CCMP, PSK, -81,       62,       35,   0.  0.  0.  0,   9, fh_8c7a58, 
80:78:71:4D:19:3B, 2023-08-27 17:54:44, 2023-08-27 17:56:38, 11, 130, WPA2, CCMP, PSK, -29,       31,        1,   0.  0.  0.  0,   6, JOAKIN, 
60:E3:27:57:D6:6C, 2023-08-27 17:54:44, 2023-08-27 17:56:38,  6, 135, WPA2, CCMP, PSK, -30,       24,        0,   0.  0.  0.  0,  17, Red Comadre Daira, 
68:59:11:1A:9F:E8, 2023-08-27 17:54:44, 2023-08-27 17:56:39, 12, 270, WPA2, CCMP, PSK, -33,       12,        0,   0.  0.  0.  0,   9, Francisca, 
46:48:B9:05:FC:3E, 2023-08-27 17:54:44, 2023-08-27 17:54:44,  1, 270, WPA2, CCMP, PSK, -31,        2,        0,   0.  0.  0.  0,   5, Sacha, 
78:29:ED:13:B6:02, 2023-08-27 17:54:44, 2023-08-27 17:56:43,  1, 130, WPA2, CCMP, PSK, -17,       75,       73,   0.  0.  0.  0,  21, movistar2,4GHZ_13B602, 
30:FB:B8:B3:47:80, 2023-08-27 17:54:46, 2023-08-27 17:56:37,  3, 130, WPA2 WPA, CCMP TKIP, PSK, -32,       12,        0,   0.  0.  0.  0,  20, MundoPacifico_Bbgeuk, 
58:AE:F1:71:A5:30, 2023-08-27 17:54:46, 2023-08-27 17:56:41,  9, 270, WPA2 WPA, CCMP, PSK, -31,       55,        3,   0.  0.  0.  0,   6, Olifer, 
78:29:ED:13:99:1F, 2023-08-27 17:54:47, 2023-08-27 17:56:42, 11, 130, WPA2, CCMP, PSK, -30,       87,        2,   0.  0.  0.  0,   8, Roberto , 
80:69:33:EC:C2:54, 2023-08-27 17:54:51, 2023-08-27 17:56:42,  6, 130, WPA2 WPA, CCMP TKIP, PSK, -29,       22,        4,   0.  0.  0.  0,  11, Mywentz 2.4, 
CC:ED:DC:33:68:45, 2023-08-27 17:54:58, 2023-08-27 17:56:27, 11, 130, WPA2, CCMP, PSK, -87,        1,        3,   0.  0.  0.  0,  14, FamiliaRomeroj, 
E4:AB:89:6D:33:50, 2023-08-27 17:54:58, 2023-08-27 17:55:48, 11, 130, WPA2, CCMP, PSK, -34,        3,        0,   0.  0.  0.  0,   7, Rodolfo, 
D6:59:60:0F:65:2C, 2023-08-27 17:55:02, 2023-08-27 17:56:42, 11, 360, WPA2, CCMP, PSK, -28,        7,        0,   0.  0.  0.  0,  20, Xiaomi 11 Lite 5G NE, 
88:DE:7C:71:7A:1F, 2023-08-27 17:55:27, 2023-08-27 17:55:48, 11, 130, WPA2, CCMP, PSK, -34,        4,        0,   0.  0.  0.  0,  11, Otra vez tu, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
B0:FC:36:54:4D:B9, 2023-08-27 17:54:41, 2023-08-27 17:56:43, -55,     1431, E4:AB:89:F6:48:CE,
26:29:7F:84:A4:D1, 2023-08-27 17:54:41, 2023-08-27 17:56:35, -84,       77, CC:ED:DC:51:0E:17,
E4:AB:89:F6:48:CE, 2023-08-27 17:54:41, 2023-08-27 17:56:43,  -1,       16, E4:AB:89:F6:48:CE,
72:E3:27:57:D6:6C, 2023-08-27 17:54:44, 2023-08-27 17:56:42, -88,      249, 78:29:ED:08:52:97,lorenzo
1A:CF:84:4B:EE:A2, 2023-08-27 17:54:44, 2023-08-27 17:55:24, -76,        5, CC:ED:DC:51:0E:17,
18:87:40:49:76:85, 2023-08-27 17:54:45, 2023-08-27 17:56:36, -79,      251, CC:ED:DC:51:0E:17,
20:25:D2:8E:F5:96, 2023-08-27 17:54:49, 2023-08-27 17:54:50, -37,        5, (not associated) ,
DA:E8:35:FB:B6:DA, 2023-08-27 17:54:51, 2023-08-27 17:56:07, -72,      146, 78:29:ED:13:B6:02,bussllz47
D8:9E:61:29:88:5D, 2023-08-27 17:54:59, 2023-08-27 17:56:39, -72,       19, E4:AB:89:F6:48:CE,
DA:4D:76:54:0E:15, 2023-08-27 17:55:00, 2023-08-27 17:55:00, -60,        6, (not associated) ,
CC:ED:DC:51:0E:17, 2023-08-27 17:55:03, 2023-08-27 17:55:03, -80,        2, (not associated) ,
D4:F5:47:4E:CE:1C, 2023-08-27 17:55:09, 2023-08-27 17:56:14, -70,        9, (not associated) ,Procase
34:F1:50:CE:40:87, 2023-08-27 17:55:13, 2023-08-27 17:56:21,  -1,       14, F4:6F:ED:CB:84:00,
44:CB:8B:2A:01:CA, 2023-08-27 17:55:13, 2023-08-27 17:56:39, -85,        3, F4:6F:ED:CB:84:00,
F0:EF:86:3E:EB:29, 2023-08-27 17:55:16, 2023-08-27 17:55:16, -51,        8, (not associated) ,Procase
F6:0C:AA:33:50:88, 2023-08-27 17:55:19, 2023-08-27 17:56:42,  -1,       34, 6C:A4:D1:8C:7A:58,
86:A9:96:95:33:44, 2023-08-27 17:55:20, 2023-08-27 17:55:20, -80,        2, (not associated) ,
86:ED:41:82:78:ED, 2023-08-27 17:55:22, 2023-08-27 17:55:22, -77,        4, 6C:A4:D1:8B:4B:00,
70:B1:3D:BF:C1:5C, 2023-08-27 17:55:23, 2023-08-27 17:55:23, -81,        2, (not associated) ,
38:B1:DB:2B:4C:00, 2023-08-27 17:55:24, 2023-08-27 17:55:24,  -1,        1, CC:ED:DC:51:0E:17,
54:BA:D6:8B:B7:24, 2023-08-27 17:55:24, 2023-08-27 17:56:10, -82,        3, CC:ED:DC:51:0E:17,
BC:6A:D1:BD:33:9C, 2023-08-27 17:55:38, 2023-08-27 17:56:35, -58,       11, E4:AB:89:F6:48:CE,
F4:30:8B:30:26:5C, 2023-08-27 17:55:42, 2023-08-27 17:56:35, -84,       48, CC:ED:DC:51:0E:17,
C8:C2:FA:AA:FA:9D, 2023-08-27 17:55:52, 2023-08-27 17:56:28, -84,        3, 80:69:33:EC:C2:54,
3A:6D:54:55:53:93, 2023-08-27 17:55:54, 2023-08-27 17:56:30, -84,        4, 30:FB:B8:B3:47:80,
88:83:22:95:36:F8, 2023-08-27 17:55:55, 2023-08-27 17:56:38, -90,        2, 78:29:ED:13:99:1F,
DA:A1:19:1A:1A:1A, 2023-08-27 17:55:56, 2023-08-27 17:55:56, -67,        1, (not associated) ,
E2:7F:F3:A3:7B:36, 2023-08-27 17:55:58, 2023-08-27 17:55:59, -57,        4, (not associated) ,
C0:D2:F3:99:F4:AE, 2023-08-27 17:55:59, 2023-08-27 17:55:59, -84,        1, 78:29:ED:13:99:1F,
24:FC:E5:A1:CD:1A, 2023-08-27 17:56:02, 2023-08-27 17:56:02, -85,        1, (not associated) ,
DE:CD:24:B8:99:86, 2023-08-27 17:56:04, 2023-08-27 17:56:04, -85,        1, (not associated) ,
F8:4F:AD:69:E5:AB, 2023-08-27 17:56:22, 2023-08-27 17:56:22, -88,        1, 6C:D8:19:A6:94:90,
E8:84:A5:10:BA:7B, 2023-08-27 17:56:27, 2023-08-27 17:56:27, -55,        2, (not associated) ,
A4:9B:4F:DA:28:98, 2023-08-27 17:56:44, 2023-08-27 17:56:44,  -1,       18, 6C:D8:19:A6:94:90,
